Employee_ID,Age_Group,Monthly_Income_Band,Tenure_Group,Distance_Band,Manager_Tenure_Group,Satisfaction_Index,Engagement_Score,Salary_vs_Role_Avg,High_Flight_Risk,Stagnation_Flag,Attrition_Binary,Education_Label,Environment_Satisfaction_Label,Job_Satisfaction_Label,Relationship_Satisfaction_Label,Work_Life_Balance_Label,Performance_Rating_Label,Stock_Option_Label
1022,46-55,Medium,"New Hire",Close,New,2.75,2.60,0.56,0,0,0,Bachelor,Low,High,"Very High",Better,"Meets Expectations",None
624,46-55,High,"New Hire",Moderate,New,2.50,2.60,1.40,0,0,0,"Below College",Low,High,"Very High",Good,"Meets Expectations",None
431,46-55,High,Established,"Very Close",Established,3.25,3.00,1.85,0,0,0,College,High,High,"Very High",Better,"Meets Expectations",None
1014,26-35,High,"Long Tenure",Far,New,2.75,2.80,1.38,0,0,0,Master,High,High,High,Good,"Meets Expectations",Low
1766,36-45,Medium,"New Hire",Moderate,New,3.00,2.60,0.77,0,0,0,Bachelor,Medium,"Very High",High,Better,"Meets Expectations",Low
1161,36-45,Medium,Established,Far,Developing,3.25,3.00,0.76,0,0,0,College,High,"Very High",High,Better,"Meets Expectations",Medium
258,46-55,High,Established,"Very Close",New,3.00,3.00,1.82,0,0,0,Bachelor,"Very High",Medium,High,Better,"Meets Expectations",None
1763,26-35,Medium,Established,Moderate,Established,3.00,3.20,0.70,0,0,0,Bachelor,High,High,High,Better,"Meets Expectations",Low
477,36-45,Medium,"New Hire","Very Close",New,2.50,2.40,0.90,0,0,0,Master,Low,"Very High",Medium,Better,Excellent,None
13,36-45,Medium,Established,Far,Established,2.50,2.60,0.70,0,1,0,Bachelor,High,High,Medium,Good,"Meets Expectations",Medium
1753,26-35,Medium,"Early Tenure","Very Close",New,3.75,3.80,0.84,0,0,0,Bachelor,"Very High",High,"Very High",Best,"Meets Expectations",None
1981,18-25,Medium,"Early Tenure","Very Close",New,2.25,2.20,0.61,0,0,0,College,Medium,High,Medium,Good,"Meets Expectations",None
1971,36-45,High,Established,Moderate,Established,2.25,2.40,1.00,0,0,0,Bachelor,Low,High,Medium,Better,"Meets Expectations",Low
482,56+,Medium,"Early Tenure","Very Close",New,3.25,3.20,0.90,0,0,0,Master,"Very High",High,High,Better,"Meets Expectations",None
634,36-45,High,"New Hire",Close,New,3.00,3.00,1.30,0,0,0,Bachelor,High,High,High,Better,"Meets Expectations",Low
837,36-45,Medium,"Early Tenure",Moderate,New,1.75,1.80,0.84,0,0,0,Bachelor,Low,Low,High,Good,"Meets Expectations",Low
692,26-35,High,"Long Tenure",Close,Established,2.75,2.80,1.03,0,0,0,Bachelor,High,"Very High",High,Bad,Excellent,Low
1970,26-35,Medium,Established,Close,Established,3.25,3.20,0.79,0,0,0,College,"Very High",High,High,Better,Excellent,High
998,26-35,Medium,Established,"Very Close",New,2.25,2.60,0.73,0,0,0,Master,High,Medium,Low,Better,"Meets Expectations",Low
1727,46-55,Medium,Established,Moderate,Established,3.00,3.00,0.74,0,0,0,Master,High,Medium,"Very High",Better,"Meets Expectations",None
491,46-55,High,"Early Tenure",Close,Developing,3.75,3.40,1.39,0,0,0,Bachelor,"Very High","Very High","Very High",Better,"Meets Expectations",None
1955,26-35,Medium,"Early Tenure",Moderate,New,3.00,3.00,0.89,0,0,0,Master,High,"Very High",Medium,Better,"Meets Expectations",Low
282,36-45,Medium,"New Hire",Far,New,2.00,2.20,0.89,1,0,1,"Below College",Medium,Low,Medium,Better,"Meets Expectations",None
